Plant,PlantProductMesh,element_code,PeriodKey,Rate,Qty
MCI,Bauxite Pellets,Materials,2026-11,0.0,0.0
MCI,Bauxite Pellets,Materials,2026-12,0.0,0.0
MCI,Bauxite Pellets,Other,2025-11,0.0,0.0
MCI,Bauxite Pellets,Other,2025-12,0.0,0.0
MCI,Bauxite Pellets,Other,2026-01,0.0,0.0
MCI,Bauxite Pellets,Other,2026-02,0.0,0.0
MCI,Bauxite Pellets,Other,2026-03,0.0,0.0
MCI,Bauxite Pellets,Other,2026-04,0.0055,12000.0
MCI,Bauxite Pellets,Other,2026-05,0.0,0.0
MCI,Bauxite Pellets,Other,2026-06,0.0,0.0
MCI,Bauxite Pellets,Other,2026-07,0.0,0.0
MCI,Bauxite Pellets,Other,2026-08,0.0082,6000.0
MCI,Bauxite Pellets,Other,2026-09,0.0,0.0
MCI,Bauxite Pellets,Other,2026-10,0.0085,6400.0
MCI,Bauxite Pellets,Other,2026-11,0.0,0.0
MCI,Bauxite Pellets,Other,2026-12,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2025-11,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2025-12,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2026-01,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2026-02,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2026-03,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2026-04,0.0275,12000.0
MCI,Bauxite Pellets,Production Labor,2026-05,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2026-06,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2026-07,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2026-08,0.0275,6000.0
MCI,Bauxite Pellets,Production Labor,2026-09,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2026-10,0.0274,6400.0
MCI,Bauxite Pellets,Production Labor,2026-11,0.0,0.0
MCI,Bauxite Pellets,Production Labor,2026-12,0.0,0.0
MCI,Bauxite Pellets,R&M,2025-11,0.0,0.0
MCI,Bauxite Pellets,R&M,2025-12,0.0,0.0
MCI,Bauxite Pellets,R&M,2026-01,0.0,0.0
MCI,Bauxite Pellets,R&M,2026-02,0.0,0.0
MCI,Bauxite Pellets,R&M,2026-03,0.0,0.0
MCI,Bauxite Pellets,R&M,2026-04,0.035,12000.0
MCI,Bauxite Pellets,R&M,2026-05,0.0,0.0
MCI,Bauxite Pellets,R&M,2026-06,0.0,0.0
MCI,Bauxite Pellets,R&M,2026-07,0.0,0.0
MCI,Bauxite Pellets,R&M,2026-08,0.035,6000.0
MCI,Bauxite Pellets,R&M,2026-09,0.0,0.0
MCI,Bauxite Pellets,R&M,2026-10,0.035,6400.0
MCI,Bauxite Pellets,R&M,2026-11,0.0,0.0
MCI,Bauxite Pellets,R&M,2026-12,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2025-11,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2025-12,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2026-01,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2026-02,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2026-03,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2026-04,0.0099,12000.0
MCI,Bauxite Pellets,R&M Labor,2026-05,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2026-06,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2026-07,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2026-08,0.0099,6000.0
MCI,Bauxite Pellets,R&M Labor,2026-09,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2026-10,0.0099,6400.0
MCI,Bauxite Pellets,R&M Labor,2026-11,0.0,0.0
MCI,Bauxite Pellets,R&M Labor,2026-12,0.0,0.0
MCI,Bauxite Pellets,Supervision,2025-11,0.0,0.0
MCI,Bauxite Pellets,Supervision,2025-12,0.0,0.0
MCI,Bauxite Pellets,Supervision,2026-01,0.0,0.0
MCI,Bauxite Pellets,Supervision,2026-02,0.0,0.0
MCI,Bauxite Pellets,Supervision,2026-03,0.0,0.0
MCI,Bauxite Pellets,Supervision,2026-04,0.0006,12000.0
MCI,Bauxite Pellets,Supervision,2026-05,0.0,0.0
MCI,Bauxite Pellets,Supervision,2026-06,0.0,0.0
MCI,Bauxite Pellets,Supervision,2026-07,0.0,0.0
MCI,Bauxite Pellets,Supervision,2026-08,0.0006,6000.0
MCI,Bauxite Pellets,Supervision,2026-09,0.0,0.0
MCI,Bauxite Pellets,Supervision,2026-10,0.0006,6400.0
MCI,Bauxite Pellets,Supervision,2026-11,0.0,0.0
MCI,Bauxite Pellets,Supervision,2026-12,0.0,0.0
NI,CARBO AIR,Depreciation,2026-01,0.0,0.0
NI,CARBO AIR,Depreciation,2026-02,0.0,0.0
NI,CARBO AIR,Depreciation,2026-03,0.0,0.0
NI,CARBO AIR,Depreciation,2026-04,0.0,0.0
NI,CARBO AIR,Depreciation,2026-05,0.0,0.0
NI,CARBO AIR,Depreciation,2026-06,0.0,0.0
NI,CARBO AIR,Depreciation,2026-07,0.0,0.0
NI,CARBO AIR,Depreciation,2026-08,0.0,0.0
NI,CARBO AIR,Depreciation,2026-09,0.0,0.0
NI,CARBO AIR,Depreciation,2026-10,0.0,0.0
NI,CARBO AIR,Depreciation,2026-11,0.0,0.0
NI,CARBO AIR,Depreciation,2026-12,0.0,0.0
NI,CARBO AIR,Electricity,2026-01,0.0,0.0
NI,CARBO AIR,Electricity,2026-02,0.0,0.0
NI,CARBO AIR,Electricity,2026-03,0.0,0.0
NI,CARBO AIR,Electricity,2026-04,0.0,0.0
NI,CARBO AIR,Electricity,2026-05,0.0,0.0
NI,CARBO AIR,Electricity,2026-06,0.0,0.0
NI,CARBO AIR,Electricity,2026-07,0.0,0.0
NI,CARBO AIR,Electricity,2026-08,0.0,0.0
NI,CARBO AIR,Electricity,2026-09,0.0,0.0
NI,CARBO AIR,Electricity,2026-10,0.0,0.0
NI,CARBO AIR,Electricity,2026-11,0.0,0.0
NI,CARBO AIR,Electricity,2026-12,0.0,0.0
NI,CARBO AIR,Gas,2026-01,0.0,0.0
NI,CARBO AIR,Gas,2026-02,0.0,0.0
NI,CARBO AIR,Gas,2026-03,0.0,0.0
NI,CARBO AIR,Gas,2026-04,0.0,0.0
NI,CARBO AIR,Gas,2026-05,0.0,0.0
NI,CARBO AIR,Gas,2026-06,0.0,0.0
NI,CARBO AIR,Gas,2026-07,0.0,0.0
NI,CARBO AIR,Gas,2026-08,0.0,0.0
NI,CARBO AIR,Gas,2026-09,0.0,0.0
NI,CARBO AIR,Gas,2026-10,0.0,0.0
NI,CARBO AIR,Gas,2026-11,0.0,0.0
NI,CARBO AIR,Gas,2026-12,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-01,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-02,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-03,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-04,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-05,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-06,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-07,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-08,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-09,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-10,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-11,0.0,0.0
NI,CARBO AIR,Indirect Labor,2026-12,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-01,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-02,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-03,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-04,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-05,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-06,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-07,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-08,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-09,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-10,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-11,0.0,0.0
NI,CARBO AIR,Insurance & Taxes,2026-12,0.0,0.0
NI,CARBO AIR,Manuf.,2026-01,0.0,0.0
NI,CARBO AIR,Manuf.,2026-02,0.0,0.0
NI,CARBO AIR,Manuf.,2026-03,0.0,0.0
NI,CARBO AIR,Manuf.,2026-04,0.0,0.0
NI,CARBO AIR,Manuf.,2026-05,0.0,0.0
NI,CARBO AIR,Manuf.,2026-06,0.0,0.0
NI,CARBO AIR,Manuf.,2026-07,0.0,0.0
NI,CARBO AIR,Manuf.,2026-08,0.0,0.0
NI,CARBO AIR,Manuf.,2026-09,0.0,0.0
NI,CARBO AIR,Manuf.,2026-10,0.0,0.0
NI,CARBO AIR,Manuf.,2026-11,0.0,0.0
NI,CARBO AIR,Manuf.,2026-12,0.0,0.0
NI,CARBO AIR,Materials,2026-01,0.0,0.0
NI,CARBO AIR,Materials,2026-02,0.0,0.0
NI,CARBO AIR,Materials,2026-03,0.0,0.0
NI,CARBO AIR,Materials,2026-04,0.0,0.0
NI,CARBO AIR,Materials,2026-05,0.0,0.0
NI,CARBO AIR,Materials,2026-06,0.0,0.0
NI,CARBO AIR,Materials,2026-07,0.0,0.0
NI,CARBO AIR,Materials,2026-08,0.0,0.0
NI,CARBO AIR,Materials,2026-09,0.0,0.0
NI,CARBO AIR,Materials,2026-10,0.0,0.0
NI,CARBO AIR,Materials,2026-11,0.0,0.0
NI,CARBO AIR,Materials,2026-12,0.0,0.0
NI,CARBO AIR,Other,2026-01,0.0,0.0
NI,CARBO AIR,Other,2026-02,0.0,0.0
NI,CARBO AIR,Other,2026-03,0.0,0.0
NI,CARBO AIR,Other,2026-04,0.0,0.0
NI,CARBO AIR,Other,2026-05,0.0,0.0
NI,CARBO AIR,Other,2026-06,0.0,0.0
NI,CARBO AIR,Other,2026-07,0.0,0.0
NI,CARBO AIR,Other,2026-08,0.0,0.0
NI,CARBO AIR,Other,2026-09,0.0,0.0
NI,CARBO AIR,Other,2026-10,0.0,0.0
NI,CARBO AIR,Other,2026-11,0.0,0.0
NI,CARBO AIR,Other,2026-12,0.0,0.0
NI,CARBO AIR,Production Labor,2026-01,0.0,0.0
NI,CARBO AIR,Production Labor,2026-02,0.0,0.0
NI,CARBO AIR,Production Labor,2026-03,0.0,0.0
NI,CARBO AIR,Production Labor,2026-04,0.0,0.0
NI,CARBO AIR,Production Labor,2026-05,0.0,0.0
NI,CARBO AIR,Production Labor,2026-06,0.0,0.0
NI,CARBO AIR,Production Labor,2026-07,0.0,0.0
NI,CARBO AIR,Production Labor,2026-08,0.0,0.0
NI,CARBO AIR,Production Labor,2026-09,0.0,0.0
NI,CARBO AIR,Production Labor,2026-10,0.0,0.0
NI,CARBO AIR,Production Labor,2026-11,0.0,0.0
NI,CARBO AIR,Production Labor,2026-12,0.0,0.0
NI,CARBO AIR,R&M,2026-01,0.0,0.0
NI,CARBO AIR,R&M,2026-02,0.0,0.0
NI,CARBO AIR,R&M,2026-03,0.0,0.0
