Plant,PlantProductMesh,element_code,PeriodKey,Rate,Qty,Cost,rate_fill_flag,Forecasted_Qty,MembrainProductMesh
EUF,CARBOGRIND 280-030,Supervision,2026-12,0.0,0.0,0.0,original,619483,CARBOGRIND 280-030
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2025-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2025-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-01,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-02,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-03,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-04,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-05,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-06,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-07,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-08,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-09,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-10,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Depreciation,2026-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2025-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2025-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-01,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-02,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-03,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-04,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-05,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-06,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-07,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-08,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-09,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-10,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Electricity,2026-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2025-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2025-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-01,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-02,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-03,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-04,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-05,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-06,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-07,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-08,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-09,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-10,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Gas,2026-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2025-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2025-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-01,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-02,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-03,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-04,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-05,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-06,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-07,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-08,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-09,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-10,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Indirect Labor,2026-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2025-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2025-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-01,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-02,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-03,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-04,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-05,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-06,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-07,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-08,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-09,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-10,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Insurance & Taxes,2026-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2025-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2025-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-01,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-02,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-03,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-04,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-05,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-06,0.0,0.0,,original,,
